sep=|
Step|Time[ms]|homGroupTrue|homGroupFalse|agreeTrue|hetGroup|voteFalse|agreeFalse|voteTrue
137|0,1250305635|0|0|400|10|34|170|66
138|0,1251597993|0|0|405|10|34|170|66
139|0,1264466879|0|0|417|10|34|178|66
140|0,1279002728|0|0|419|10|34|178|66
141|0,128845423|0|0|421|10|34|178|66
142|0,1333682111|0|0|427|10|34|182|66
143|0,1341945781|0|0|434|10|34|192|66
144|0,1350336028|0|0|445|10|34|198|66
145|0,1353160645|0|0|457|10|34|208|66
146|0,1353653011|0|0|460|10|34|208|66
147|0,1353715844|0|0|464|10|34|208|66
148|0,1368375614|0|0|469|10|34|208|66
149|0,1380571286|0|0|475|10|34|208|66
150|0,1381828845|0|0|481|10|34|208|66
151|0,1385100796|0|0|489|10|34|220|66
152|0,1390361109|0|0|502|10|34|232|66
153|0,140043997|0|0|505|10|34|232|66
154|0,1420082673|0|0|512|10|34|232|66
155|0,146650766|0|0|517|10|34|232|66
156|0,1481368085|0|0|522|10|34|232|66
157|0,1509483137|0|0|537|10|34|242|66
158|0,1513011266|0|0|543|10|34|242|66
159|0,1520186079|0|0|550|10|34|242|66
160|0,1533864125|0|0|566|10|34|254|66
161|0,1547450273|0|0|573|10|34|254|66
162|0,1550713785|0|0|580|10|34|254|66
163|0,1552038764|0|0|584|10|34|254|66
164|0,1582469467|0|0|588|10|34|254|66
165|0,1596142582|0|0|590|10|34|254|66
166|0,159839847|0|0|595|10|34|268|66
167|0,1611201319|0|0|602|10|34|268|66
168|0,1618867791|0|0|604|10|34|268|66
169|0,1618917703|0|0|611|10|34|268|66
170|0,1623979051|0|0|614|10|34|268|66
171|0,1637255366|0|0|618|10|34|268|66
172|0,1645903024|0|0|623|10|34|284|66
173|0,1656728707|0|0|628|10|34|302|66
174|0,1719489134|0|0|632|10|34|302|66
175|0,172778469|0|0|636|10|34|302|66
176|0,1737682626|0|0|643|10|34|302|66
177|0,1746620835|0|0|653|10|34|302|66
178|0,1753272488|0|0|664|10|34|310|66
179|0,175750398|0|0|676|10|34|318|66
180|0,1760485867|0|0|691|10|34|322|66
181|0,1770733572|0|0|694|10|34|322|66
182|0,177175742|0|0|697|10|34|322|66
183|0,1779286367|0|0|703|10|34|342|66
184|0,1783976995|0|0|716|10|34|350|66
185|0,1788905504|0|0|721|10|34|350|66
186|0,1795152907|0|0|728|10|34|350|66
187|0,1809493014|0|0|735|10|34|350|66
188|0,1809775948|0|0|742|10|34|350|66
189|0,184291182|0|0|754|10|34|364|66
190|0,186084686|0|0|760|10|34|386|66
191|0,1870009951|0|0|774|10|34|400|66
192|0,1873504094|0|0|792|10|34|414|66
193|0,1874591103|0|0|795|10|34|414|66
194|0,1904834208|0|0|798|10|34|414|66
195|0,190567075|0|0|815|10|34|420|66
196|0,1913956181|0|0|822|10|34|420|66
197|0,191448091|0|0|829|10|34|420|66
