Step,Time[ms],homGroupTrue,homGroupFalse,agreeTrue,hetGroup,voteFalse,agreeFalse,voteTrue
121,"0,0002542595",0,0,2097,5,36,1246,64
122,"0,0002591209",0,0,2107,5,36,1254,64
123,"0,0002614448",0,0,2097,5,36,1246,64
124,"0,0002618925",0,0,2107,5,36,1254,64
125,"0,0002659316",0,0,2097,5,36,1246,64
126,"0,0002682682",0,0,2107,5,36,1254,64
127,"0,0002758897",0,0,2097,5,36,1246,64
128,"0,0002771447",0,0,2107,5,36,1254,64
129,"0,0002800429",0,0,2097,5,36,1246,64
130,"0,0002872011",0,0,2107,5,36,1254,64
131,"0,0002885735",0,0,2097,5,36,1246,64
132,"0,0002967615",0,0,2107,5,36,1254,64
133,"0,0002975255",0,0,2097,5,36,1246,64
134,"0,0002980646",0,0,2107,5,36,1254,64
135,"0,000299487",0,0,2097,5,36,1246,64
136,"0,0003008715",0,0,2107,5,36,1254,64
137,"0,0003016967",0,0,2097,5,36,1246,64
138,"0,0003029753",0,0,2107,5,36,1254,64
139,"0,0003046195",0,0,2097,5,36,1246,64
140,"0,0003048514",0,0,2107,5,36,1254,64
141,"0,0003064215",0,0,2097,5,36,1246,64
142,"0,0003097458",0,0,2107,5,36,1254,64
143,"0,0003099828",0,0,2097,5,36,1246,64
144,"0,0003102905",0,0,2107,5,36,1254,64
145,"0,0003172452",0,0,2097,5,36,1246,64
146,"0,0003200577",0,0,2107,5,36,1254,64
147,"0,0003201989",0,0,2097,5,36,1246,64
148,"0,0003204764",0,0,2107,5,36,1254,64
149,"0,0003218171",0,0,2097,5,36,1246,64
150,"0,0003227581",0,0,2107,5,36,1254,64
151,"0,0003246448",0,0,2097,5,36,1246,64
152,"0,0003314436",0,0,2107,5,36,1254,64
153,"0,0003338528",0,0,2097,5,36,1246,64
154,"0,0003388121",0,0,2107,5,36,1254,64
155,"0,0003438015",0,0,2097,5,36,1246,64
156,"0,0003442001",0,0,2107,5,36,1254,64
157,"0,0003457909",0,0,2097,5,36,1246,64
158,"0,0003467037",0,0,2107,5,36,1254,64
159,"0,0003525641",0,0,2097,5,36,1246,64
160,"0,0003541292",0,0,2107,5,36,1254,64
161,"0,0003542638",0,0,2097,5,36,1246,64
162,"0,0003574247",0,0,2107,5,36,1254,64
163,"0,0003598415",0,0,2097,5,36,1246,64
164,"0,0003600766",0,0,2107,5,36,1254,64
165,"0,0003620725",0,0,2097,5,36,1246,64
166,"0,0003652869",0,0,2107,5,36,1254,64
167,"0,0003656587",0,0,2097,5,36,1246,64
168,"0,000369129",0,0,2107,5,36,1254,64
169,"0,0003719261",0,0,2097,5,36,1246,64
170,"0,0003722831",0,0,2107,5,36,1254,64
171,"0,0003727639",0,0,2097,5,36,1246,64
172,"0,0003814973",0,0,2107,5,36,1254,64
173,"0,0003815166",0,0,2097,5,36,1246,64
174,"0,0003840642",0,0,2107,5,36,1254,64
175,"0,0003840758",0,0,2097,5,36,1246,64
176,"0,0003867271",0,0,2107,5,36,1254,64
177,"0,0003878824",0,0,2097,5,36,1246,64
178,"0,000389013",0,0,2107,5,36,1254,64
179,"0,0003892761",0,0,2097,5,36,1246,64
180,"0,0003899096",0,0,2107,5,36,1254,64
181,"0,0003924751",0,0,2097,5,36,1246,64
182,"0,0003932139",0,0,2107,5,36,1254,64
183,"0,0003936042",0,0,2097,5,36,1246,64
184,"0,0003978234",0,0,2107,5,36,1254,64
185,"0,0004020975",0,0,2097,5,36,1246,64
186,"0,0004071214",0,0,2107,5,36,1254,64
187,"0,0004075652",0,0,2097,5,36,1246,64
188,"0,00040809",0,0,2107,5,36,1254,64
189,"0,0004109345",0,0,2097,5,36,1246,64
190,"0,0004113025",0,0,2107,5,36,1254,64
191,"0,0004149766",0,0,2097,5,36,1246,64
192,"0,0004170875",0,0,2107,5,36,1254,64
193,"0,000419136",0,0,2097,5,36,1246,64
194,"0,0004234764",0,0,2107,5,36,1254,64
195,"0,0004236927",0,0,2097,5,36,1246,64
196,"0,0004247443",0,0,2107,5,36,1254,64
197,"0,0004271763",0,0,2097,5,36,1246,64
198,"0,0004274834",0,0,2107,5,36,1254,64
199,"0,0004287278",0,0,2097,5,36,1246,64
200,"0,0004302552",0,0,2107,5,36,1254,64
201,"0,0004366605",0,0,2097,5,36,1246,64
202,"0,0004373378",0,0,2107,5,36,1254,64
203,"0,0004376102",0,0,2097,5,36,1246,64
204,"0,0004433928",0,0,2107,5,36,1254,64
205,"0,0004436163",0,0,2097,5,36,1246,64
206,"0,0004445994",0,0,2107,5,36,1254,64
207,"0,0004449654",0,0,2097,5,36,1246,64
208,"0,0004478395",0,0,2107,5,36,1254,64
209,"0,0004490746",0,0,2097,5,36,1246,64
210,"0,000453197",0,0,2076,7,35,1178,65
211,"0,0004621943",0,0,2086,7,35,1186,65
212,"0,00046245",0,0,2076,7,35,1178,65
213,"0,000465135",0,0,2086,7,35,1186,65
214,"0,0004712956",0,0,2076,7,35,1178,65
215,"0,0004717649",0,0,2086,7,35,1186,65
216,"0,0004722774",0,0,2076,7,35,1178,65
217,"0,0004724255",0,0,2086,7,35,1186,65
218,"0,0004733839",0,0,2076,7,35,1178,65
219,"0,0004763552",0,0,2086,7,35,1186,65
220,"0,0004803572",0,0,2076,7,35,1178,65
221,"0,000483647",0,0,2086,7,35,1186,65
222,"0,0004884452",0,0,2076,7,35,1178,65
223,"0,000492105",0,0,2086,7,35,1186,65
224,"0,0004946359",0,0,2076,7,35,1178,65
225,"0,0004956944",0,0,2086,7,35,1186,65
226,"0,0005002197",0,0,2076,7,35,1178,65
227,"0,0005034692",0,0,2086,7,35,1186,65
228,"0,0005118724",0,0,2076,7,35,1178,65
229,"0,0005124771",0,0,2086,7,35,1186,65
230,"0,00051404",0,0,2076,7,35,1178,65
231,"0,0005153172",0,0,2086,7,35,1186,65
232,"0,0005156834",0,0,2076,7,35,1178,65
233,"0,000524078",0,0,2086,7,35,1186,65
234,"0,0005251776",0,0,2076,7,35,1178,65
235,"0,0005298022",0,0,2086,7,35,1186,65
236,"0,0005302168",0,0,2076,7,35,1178,65
237,"0,0005307453",0,0,2086,7,35,1186,65
238,"0,0005309641",0,0,2076,7,35,1178,65
239,"0,00053218",0,0,2086,7,35,1186,65
240,"0,0005347248",0,0,2076,7,35,1178,65
241,"0,0005347568",0,0,2086,7,35,1186,65
242,"0,0005357974",0,0,2076,7,35,1178,65
243,"0,0005374694",0,0,2086,7,35,1186,65
244,"0,0005377513",0,0,2076,7,35,1178,65
245,"0,0005411918",0,0,2097,7,36,1252,64
246,"0,0005419524",0,0,2107,8,36,1260,64
247,"0,0005450504",0,0,2097,7,36,1252,64
248,"0,0005459746",0,0,2107,7,36,1260,64
249,"0,0005468111",0,0,2097,7,36,1252,64
250,"0,0005494117",0,0,2107,7,36,1260,64
251,"0,000557378",0,0,2097,7,36,1252,64
252,"0,0005584882",0,0,2107,7,36,1260,64
253,"0,0005602396",0,0,2097,7,36,1252,64
254,"0,0005615363",0,0,2107,7,36,1260,64
255,"0,0005630769",0,0,2097,7,36,1252,64
256,"0,000564867",0,0,2107,7,36,1260,64
257,"0,0005650449",0,0,2097,7,36,1252,64
258,"0,0005665087",0,0,2107,7,36,1260,64
259,"0,0005703358",0,0,2097,7,36,1252,64
260,"0,000575069",0,0,2107,7,36,1260,64
261,"0,0005761527",0,0,2097,7,36,1252,64
262,"0,0005793913",0,0,2107,7,36,1260,64
263,"0,0005799254",0,0,2097,7,36,1252,64
264,"0,0005822674",0,0,2107,7,36,1260,64
